"Product","Status","Automotive Recommended","Description","# per Package","GBWP (kHz)","Iq Typical (µA)","Iq Max (µA)","Vos Max (µV)","Operating Voltage Range (V) ","Input Voltage Noise Density (nV/rt(Hz))","PSRR Min (dB)","CMRR Min (dB)","ΔVos/ΔTa (µV/°C)","Ib (pA)","Aol (dB)","PM (deg)","Isc (mA)","Rail-To-Rail","Unity Gain Stable","Slew Rate (V/µS)","EMI Protection","Packages","5K Pricing"
"MCP6441"," In Production "," Yes"," Linear Op Amps"," 1"," 9"," 0.45"," 0.65"," 4500"," ""1.4 - 6.0"""," 190"," 65"," 60"," 2.5"," 1"," 110"," 65"," 22"," In/Out"," Yes"," 0.003","  "," 5/SOT-23 5/SC-70","$0.46"
"MCP6442"," In Production "," Yes"," Linear Op Amps"," 2"," 9"," 0.45"," 0.65"," 4500"," ""1.4 - 6.0"""," 190"," 65"," 60"," 2.5"," 1"," 110"," 65"," 22"," In/Out"," Yes"," 0.003","  "," 8/SOIC 150mil 8/MSOP 8/TDFN","$0.67"
"MCP6444"," In Production "," Yes"," Linear Op Amps"," 4"," 9"," 0.45"," 0.65"," 4500"," ""1.4 - 6.0"""," 190"," 65"," 60"," 2.5"," 1"," 110"," 65"," 22"," In/Out"," Yes"," 0.003","  "," 14/TSSOP 14/SOIC 150mil","$1.20"
"MCP6031"," In Production "," Yes"," Linear Op Amps"," 1"," 10"," 0.9"," 1.35"," 150"," ""1.8 - 5.5"""," 165"," 70"," 70"," 3"," 1"," 115"," 65"," 23"," In/Out"," Yes"," 0.004","  "," 8/PDIP 8/SOIC 150mil 5/SOT-23 8/MSOP 8/DFN","$0.51"
"MCP6033"," In Production "," Yes"," Linear Op Amps"," 1"," 10"," 0.9"," 1.35"," 150"," ""1.8 - 5.5"""," 165"," 70"," 70"," 3"," 1"," 115"," 65"," 23"," In/Out"," Yes"," 0.004","  "," 8/SOIC 150mil 8/MSOP 8/DFN","$0.54"
"MCP6032"," In Production "," Yes"," Linear Op Amps"," 2"," 10"," 0.9"," 1.35"," 150"," ""1.8 - 5.5"""," 165"," 70"," 70"," 3"," 1"," 115"," 65"," 23"," In/Out"," Yes"," 0.004","  "," 8/PDIP 8/SOIC 150mil 8/MSOP","$0.72"
"MCP6034"," In Production "," Yes"," Linear Op Amps"," 4"," 10"," 0.9"," 1.35"," 150"," ""1.8 - 5.5"""," 165"," 70"," 70"," 3"," 1"," 115"," 65"," 23"," In/Out"," Yes"," 0.004","  "," 14/TSSOP 14/SOIC 150mil","$1.28"
"MCP6041"," In Production "," Yes"," Linear Op Amps"," 1"," 14"," 0.6"," 1"," 3000"," ""1.4 - 6.0"""," 170"," 70"," 62"," 1.5"," 1"," 115"," 65"," 21"," In/Out"," Yes"," 0.003","  "," 8/PDIP 8/SOIC 150mil 5/SOT-23 8/MSOP","$0.42"
"MCP6043"," In Production "," Yes"," Linear Op Amps"," 1"," 14"," 0.6"," 1"," 3000"," ""1.4 - 6.0"""," 170"," 70"," 62"," 1.5"," 1"," 115"," 65"," 21"," In/Out"," Yes"," 0.003","  "," 8/PDIP 8/SOIC 150mil 8/MSOP 6/SOT-23","$0.44"
"MCP6042"," In Production "," Yes"," Linear Op Amps"," 2"," 14"," 0.6"," 1"," 3000"," ""1.4 - 6.0"""," 170"," 70"," 62"," 1.5"," 1"," 115"," 65"," 21"," In/Out"," Yes"," 0.003","  "," 8/PDIP 8/SOIC 150mil 8/MSOP","$0.60"
"MCP6044"," In Production "," Yes"," Linear Op Amps"," 4"," 14"," 0.6"," 1"," 3000"," ""1.4 - 6.0"""," 170"," 70"," 62"," 1.5"," 1"," 115"," 65"," 21"," In/Out"," Yes"," 0.003","  "," 14/PDIP 14/TSSOP 14/SOIC 150mil","$1.06"
"MIC7111"," In Production "," No"," Linear Op Amps"," 1"," 25"," 20"," 50"," 7000"," ""1.8 - 11"""," 110"," 65"," 57"," 0"," 0"," 114"," 50"," 100","  "," No"," 0","  "," 5/SOT-23","$0.36"
"MCP6V11"," In Production "," Yes"," Linear High Precision Op Amps-Chopper Stabilized"," 1"," 80"," 7.5"," 11"," 8"," ""1.6 - 5.5"""," 102"," 118"," 119"," 0.05"," 5"," 112"," 70"," 17"," In/Out"," Yes"," 0.03","  "," 5/SOT-23","$0.82"
"MCP6V11U"," In Production "," Yes"," Linear High Precision Op Amps-Chopper Stabilized"," 1"," 80"," 7.5"," 11"," 8"," ""1.6 - 5.5"""," 102"," 118"," 119"," 0.05"," 5"," 112"," 70"," 17"," In/Out"," Yes"," 0.03","  "," 5/SOT-23 5/SC-70","$0.82"
"MCP6V12"," In Production "," Yes"," Linear High Precision Op Amps-Chopper Stabilized"," 2"," 80"," 6.5"," 11"," 8"," ""1.6 - 5.5"""," 102"," 118"," 119"," 0.05"," 5"," 112"," 70"," 17"," In/Out"," Yes"," 0.03","  "," 8/MSOP 8/TDFN","$1.26"
"MCP6V14"," In Production "," Yes"," Linear High Precision Op Amps-Chopper Stabilized"," 4"," 80"," 6.5"," 11"," 8"," ""1.6 - 5.5"""," 102"," 118"," 119"," 0.05"," 5"," 112"," 70"," 17"," In/Out"," Yes"," 0.03","  "," 14/TSSOP","$2.22"
"MCP6421"," In Production "," Yes"," Linear Op Amps"," 1"," 90"," 4.4"," 5.5"," 1000"," ""1.8 - 5.5"""," 95"," 90"," 90"," 3"," 1"," 115"," 55"," 22"," In/Out"," Yes"," 0.05"," Yes"," 5/SOT-23 5/SC-70","$0.39"
"MCP6422"," In Production "," Yes"," Linear Op Amps"," 2"," 90"," 4.4"," 5.5"," 1000"," ""1.8 - 5.5"""," 95"," 90"," 90"," 3"," 1"," 115"," 55"," 22"," In/Out"," Yes"," 0.05"," Yes"," 8/SOIC 150mil 8/MSOP","$0.51"
"MCP6424"," In Production "," Yes"," Linear Op Amps"," 4"," 90"," 4.4"," 5.5"," 1000"," ""1.8 - 5.5"""," 95"," 90"," 90"," 3"," 1"," 115"," 55"," 22"," In/Out"," Yes"," 0.05"," Yes"," 14/TSSOP 14/SOIC 150mil","$0.75"
"MCP6141"," In Production "," Yes"," Linear Op Amps"," 1"," 100"," 0.6"," 1"," 3000"," ""1.4 - 6.0"""," 170"," 70"," 60"," 1.5"," 1"," 115"," 60"," 21"," In/Out"," No"," 0.024","  "," 8/PDIP 8/SOIC 150mil 5/SOT-23 8/MSOP","$0.42"
"MCP6143"," In Production "," Yes"," Linear Op Amps"," 1"," 100"," 0.6"," 1"," 3000"," ""1.4 - 6.0"""," 170"," 70"," 60"," 1.5"," 1"," 115"," 60"," 21"," In/Out"," No"," 0.024","  "," 8/PDIP 8/SOIC 150mil 8/MSOP 6/SOT-23","$0.44"
"MCP6142"," In Production "," Yes"," Linear Op Amps"," 2"," 100"," 0.6"," 1"," 3000"," ""1.4 - 6.0"""," 170"," 70"," 60"," 1.5"," 1"," 115"," 60"," 21"," In/Out"," No"," 0.024","  "," 8/PDIP 8/SOIC 150mil 8/MSOP","$0.60"
"MCP6144"," In Production "," Yes"," Linear Op Amps"," 4"," 100"," 0.6"," 1"," 3000"," ""1.4 - 6.0"""," 170"," 70"," 60"," 1.5"," 1"," 115"," 60"," 21"," In/Out"," No"," 0.024","  "," 14/PDIP 14/TSSOP 14/SOIC 150mil","$1.06"
"MCP606"," In Production "," Yes"," Linear Op Amps"," 1"," 155"," 19"," 25"," 250"," ""2.5 - 6.0"""," 38"," 80"," 75"," 1.8"," 1"," 118"," 62"," 17"," Out"," Yes"," 0.08","  "," 8/PDIP 8/SOIC 150mil 8/TSSOP 5/SOT-23","$0.44"
"MCP608"," In Production "," Yes"," Linear Op Amps"," 1"," 155"," 19"," 25"," 250"," ""2.5 - 6.0"""," 38"," 80"," 75"," 1.8"," 1"," 118"," 62"," 17"," Out"," Yes"," 0.08","  "," 8/PDIP 8/SOIC 150mil 8/TSSOP","$0.58"
"MCP607"," In Production "," Yes"," Linear Op Amps"," 2"," 155"," 19"," 25"," 250"," ""2.5 - 6.0"""," 38"," 80"," 75"," 1.8"," 1"," 118"," 62"," 17"," Out"," Yes"," 0.08","  "," 8/PDIP 8/SOIC 150mil 8/TSSOP","$0.73"
"MCP609"," In Production "," Yes"," Linear Op Amps"," 4"," 155"," 19"," 25"," 250"," ""2.5 - 6.0"""," 38"," 80"," 75"," 1.8"," 1"," 118"," 62"," 17"," Out"," Yes"," 0.08","  "," 14/PDIP 14/TSSOP 14/SOIC 150mil","$1.09"
"MCP616"," In Production "," Yes"," Linear Op Amps"," 1"," 190"," 19"," 25"," 150"," ""2.3 - 5.5"""," 32"," 86"," 80"," 2"," 15000"," 115"," 57"," 17"," Out"," Yes"," 0.08","  "," 8/PDIP 8/SOIC 150mil 8/MSOP","$0.58"
"MCP618"," In Production "," Yes"," Linear Op Amps"," 1"," 190"," 19"," 25"," 150"," ""2.3 - 5.5"""," 32"," 86"," 80"," 2"," 15000"," 115"," 57"," 17"," Out"," Yes"," 0.08","  "," 8/PDIP 8/SOIC 150mil 8/MSOP","$0.63"
"MCP617"," In Production "," Yes"," Linear Op Amps"," 2"," 190"," 19"," 25"," 150"," ""2.3 - 5.5"""," 32"," 86"," 80"," 2"," 15000"," 115"," 57"," 17"," Out"," Yes"," 0.08","  "," 8/PDIP 8/SOIC 150mil 8/MSOP","$0.76"
"MCP619"," In Production "," Yes"," Linear Op Amps"," 4"," 190"," 19"," 25"," 150"," ""2.3 - 5.5"""," 32"," 86"," 80"," 2"," 15000"," 115"," 57"," 17"," Out"," Yes"," 0.08","  "," 14/PDIP 14/TSSOP 14/SOIC 150mil","$1.15"
"MCP6231"," In Production "," Yes"," Linear Op Amps"," 1"," 300"," 20"," 30"," 5000"," ""1.8 - 6.0"""," 52"," 83"," 61"," 3"," 1"," 110"," 65"," 23"," In/Out"," Yes"," 0.15","  "," 8/PDIP 8/SOIC 150mil 5/SOT-23 8/MSOP 5/SC-70 8/DFN","$0.22"
"MCP6231U"," In Production "," Yes"," Linear Op Amps"," 1"," 300"," 20"," 30"," 5000"," ""1.8 - 6.0"""," 52"," 83"," 61"," 3"," 1"," 110"," 65"," 23"," In/Out"," Yes"," 0.15","  "," 5/SOT-23 5/SC-70","$0.22"
"MCP6231R"," In Production "," Yes"," Linear Op Amps"," 1"," 300"," 20"," 30"," 5000"," ""1.8 - 6.0"""," 52"," 83"," 61"," 3"," 1"," 110"," 65"," 23"," In/Out"," Yes"," 0.15","  "," 5/SOT-23","$0.23"
"MCP6232"," In Production "," Yes"," Linear Op Amps"," 2"," 300"," 20"," 30"," 5000"," ""1.8 - 6.0"""," 52"," 83"," 61"," 3"," 1"," 110"," 65"," 23"," In/Out"," Yes"," 0.15","  "," 8/PDIP 8/SOIC 150mil 8/MSOP 8/TDFN","$0.29"
"MCP6234"," In Production "," Yes"," Linear Op Amps"," 4"," 300"," 20"," 30"," 5000"," ""1.8 - 6.0"""," 52"," 83"," 61"," 3"," 1"," 110"," 65"," 23"," In/Out"," Yes"," 0.15","  "," 14/PDIP 14/TSSOP 14/SOIC 150mil","$0.46"
"MCP6V31"," In Production "," Yes"," Linear High Precision Op Amps-Chopper Stabilized"," 1"," 300"," 23"," 34"," 8"," ""1.8 - 5.5"""," 50"," 120"," 120"," 0.05"," 5"," 120"," 70"," 21"," In/Out"," Yes"," 0.13","  "," 5/SOT-23","$0.81"
"MCP6V31U"," In Production "," Yes"," Linear High Precision Op Amps-Chopper Stabilized"," 1"," 300"," 23"," 34"," 8"," ""1.8 - 5.5"""," 50"," 120"," 120"," 0.05"," 5"," 120"," 70"," 21"," In/Out"," Yes"," 0.13","  "," 5/SOT-23 5/SC-70","$0.81"
"MCP6V32"," In Production "," Yes"," Linear High Precision Op Amps-Chopper Stabilized"," 2"," 300"," 21"," 34"," 8"," ""1.8 - 5.5"""," 50"," 120"," 120"," 0.05"," 5"," 120"," 70"," 21"," In/Out"," Yes"," 0.13","  "," 8/MSOP 8/TDFN","$1.24"
"MCP6V34"," In Production "," Yes"," Linear High Precision Op Amps-Chopper Stabilized"," 4"," 300"," 21"," 34"," 8"," ""1.8 - 5.5"""," 50"," 120"," 120"," 0.05"," 5"," 120"," 70"," 21"," In/Out"," Yes"," 0.13","  "," 14/TSSOP","$2.19"
"MCP6051"," In Production "," Yes"," Linear Op Amps"," 1"," 385"," 30"," 45"," 150"," ""1.8 - 6.0"""," 34"," 87"," 91"," 1.5"," 1"," 115"," 61"," 26"," In/Out"," Yes"," 0.15","  "," 8/SOIC 150mil 5/SOT-23 8/TDFN","$0.47"
"MCP6052"," In Production "," Yes"," Linear Op Amps"," 2"," 385"," 30"," 45"," 150"," ""1.8 - 6.0"""," 34"," 87"," 91"," 1.5"," 1"," 115"," 61"," 26"," In/Out"," Yes"," 0.15","  "," 8/SOIC 150mil 8/TDFN","$0.67"
"MCP6054"," In Production "," Yes"," Linear Op Amps"," 4"," 385"," 30"," 45"," 150"," ""1.8 - 6.0"""," 34"," 87"," 91"," 1.5"," 1"," 115"," 61"," 26"," In/Out"," Yes"," 0.15","  "," 14/TSSOP 14/SOIC 150mil","$1.22"
"MIC7300"," In Production "," No"," Linear Op Amps"," 1"," 400"," 1000"," 2800"," 9000"," ""2.2 - 10"""," 37"," 55"," 55"," 0"," 0"," 110"," 40"," 115","  "," No"," 0","  "," 5/SOT-23 8/MSOP","$0.20"
"MIC861"," In Production "," No"," Linear Op Amps"," 1"," 400"," 4.6"," 9"," 10000"," ""2.43 - 5.25"""," 0"," 45"," 60"," 0"," 0"," 68"," 0"," 24","  "," No"," 0","  "," 5/SC70","$0.51"
"TC7652"," In Production "," No"," Linear Op Amps"," 1"," 400"," 1000"," 3000"," 5"," ""6.5 - 16""","  "," 120"," 120"," 0.01"," 15"," 60"," 50","  "," Out"," Yes"," 1","  "," 8/PDIP 14/PDIP","$2.50"
"MIC863"," In Production "," No"," Linear Op Amps"," 2"," 450"," 4.2"," 8"," 6000"," ""2.0 - 5.25"""," 0"," 60"," 60"," 0"," 0"," 88"," 63"," 27","  "," No"," 0","  "," 8/SOT-23","$0.71"
"MIC7122"," In Production "," No"," Linear Op Amps"," 2"," 465"," 800"," 1800"," 9000"," ""2.2 - 15"""," 37"," 60"," 45"," 0"," 0"," 110"," 40"," 140","  "," No"," 0","  "," 8/MSOP","$0.76"
"LMC7101"," In Production "," No"," Linear Op Amps"," 1"," 500"," 500"," 850"," 6000"," ""2.7 - 12"""," 37"," 82"," 82"," 0"," 1"," 110"," 45"," 300"," Out"," No"," 0.3","  "," 5/SOT-23","$0.24"
"MCP6241"," In Production "," Yes"," Linear Op Amps"," 1"," 550"," 50"," 70"," 5000"," ""1.8 - 5.5"""," 45"," 83"," 60"," 3"," 1"," 110"," 68"," 23"," In/Out"," Yes"," 0.3","  "," 8/PDIP 8/SOIC 150mil 5/SOT-23 8/MSOP 5/SC-70 8/DFN","$0.21"
"MCP6241R"," In Production "," Yes"," Linear Op Amps"," 1"," 550"," 50"," 70"," 5000"," ""1.8 - 5.5"""," 45"," 83"," 60"," 3"," 1"," 110"," 68"," 23"," In/Out"," Yes"," 0.3","  "," 5/SOT-23","$0.21"
"MCP6241U"," In Production "," Yes"," Linear Op Amps"," 1"," 550"," 50"," 70"," 5000"," ""1.8 - 5.5"""," 45"," 83"," 60"," 3"," 1"," 110"," 68"," 23"," In/Out"," Yes"," 0.3","  "," 5/SOT-23","$0.21"
"MCP6242"," In Production "," Yes"," Linear Op Amps"," 2"," 550"," 50"," 70"," 5000"," ""1.8 - 5.5"""," 45"," 83"," 60"," 3"," 1"," 110"," 68"," 23"," In/Out"," Yes"," 0.3","  "," 8/PDIP 8/SOIC 150mil 8/MSOP","$0.27"
"MCP6244"," In Production "," Yes"," Linear Op Amps"," 4"," 550"," 50"," 70"," 5000"," ""1.8 - 5.5"""," 45"," 83"," 60"," 3"," 1"," 110"," 68"," 23"," In/Out"," Yes"," 0.3","  "," 14/PDIP 14/TSSOP 14/SOIC 150mil","$0.43"
"MCP6061"," In Production "," Yes"," Linear Op Amps"," 1"," 730"," 60"," 90"," 150"," ""1.8 - 6.0"""," 25"," 70"," 72"," 1.5"," 1"," 115"," 61"," 27"," In/Out"," Yes"," 0.25","  "," 8/SOIC 150mil 5/SOT-23 8/TDFN","$0.45"
"MCP6062"," In Production "," Yes"," Linear Op Amps"," 2"," 730"," 60"," 90"," 150"," ""1.8 - 6.0"""," 25"," 70"," 72"," 1.5"," 1"," 115"," 61"," 27"," In/Out"," Yes"," 0.25","  "," 8/SOIC 150mil 8/TDFN","$0.64"
"MCP6064"," In Production "," Yes"," Linear Op Amps"," 4"," 730"," 60"," 90"," 150"," ""1.8 - 6.0"""," 25"," 70"," 72"," 1.5"," 1"," 115"," 61"," 6"," In/Out"," Yes"," 0.25","  "," 14/TSSOP 14/SOIC 150mil","$1.19"
"MCP6411"," In Production ","  "," Linear Op Amps"," 1"," 1000"," 47"," 55"," 1000"," ""1.7 - 5.5"""," 38"," 90"," 90"," 3"," 1"," 95"," 55"," 6"," In/Out"," Yes"," 0"," Yes"," 5/SOT-23 5/SC-70","$0.31"
"MCP6L01"," In Production "," No"," Linear Op Amps"," 1"," 1000"," 85"," 170"," 5000"," ""1.8 - 6.0"""," 24"," 83"," 78"," 2"," 2"," 105"," 90"," 20"," In/Out"," Yes"," 0.6","  "," 5/SOT-23 5/SC-70","$0.18"
"MCP6L01R"," In Production "," No"," Linear Op Amps"," 1"," 1000"," 85"," 170"," 5000"," ""1.8 - 6.0"""," 24"," 83"," 78"," 2"," 2"," 105"," 90"," 20"," In/Out"," Yes"," 0.6","  "," 5/SOT-23","$0.18"
"MCP6L01U"," In Production "," No"," Linear Op Amps"," 1"," 1000"," 85"," 170"," 5000"," ""1.8 - 6.0"""," 24"," 83"," 78"," 2"," 2"," 105"," 90"," 20"," In/Out"," Yes"," 0.6","  "," 5/SOT-23","$0.18"
"MCP6L02"," In Production "," No"," Linear Op Amps"," 2"," 1000"," 85"," 170"," 5000"," ""1.8 - 6.0"""," 24"," 83"," 78"," 2"," 2"," 105"," 90"," 20"," In/Out"," Yes"," 0.6","  "," 8/SOIC 150mil 8/MSOP","$0.22"
"MCP6L04"," In Production "," No"," Linear Op Amps"," 4"," 1000"," 85"," 170"," 5000"," ""1.8 - 6.0"""," 24"," 83"," 78"," 2"," 2"," 105"," 90"," 20"," In/Out"," Yes"," 0.6","  "," 14/TSSOP 14/SOIC 150mil","$0.29"
"MCP6V61"," In Production "," No"," Linear High Precision Op Amps-Chopper Stabilized"," 1"," 1000"," 80"," 130"," 8"," ""1.8 - 5.5"""," 26"," 117"," 120"," 0.015"," 1"," 125"," 60"," 23"," In/Out"," Yes"," 0.45"," Yes"," 5/SOT-23","$0.79"
"MCP6001"," In Production "," Yes"," Linear Op Amps"," 1"," 1000"," 100"," 170"," 4500"," ""1.8 - 6.0"""," 28"," 86"," 76"," 2"," 1"," 112"," 90"," 23"," In/Out"," Yes"," 0.6","  "," 5/SOT-23 5/SC-70","$0.18"
